Name,Attribute,Level,Type,ATK,DEF,Description
Abyss Actor - Hyper Director,DARK,,Fiend/Link／Effect,800.0,,"1 ""Abyss Actor"" Pendulum MonsterYou can target 1 card in your Pendulum Zone; Special Summon it, then place 1 ""Abyss Actor"" Pendulum Monster with a different name, from your Deck or face-up Extra Deck, to your Pendulum Zone, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn."
Abyss Actor - Leading Lady,DARK,Level 4,Fiend/Pendulum／Effect,1500.0,1000.0,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck."
Abyss Actor - Liberty Dramatist,DARK,Level 4,Fiend/Pendulum／Effect,1500.0,1500.0,"If this card is Special Summoned from the Pendulum Zone: The owner of this card reveals 3 ""Abyss Script"" Spells from their Deck, their opponent randomly picks 1 for this card's owner to Set on their field (but the owner destroys it during the End Phase), also shuffle the rest into the Deck. If this card is destroyed: You can shuffle 1 ""Abyss Script"" Spell from your GY into the Deck. You can only use each effect of ""Abyss Actor - Liberty Dramatist"" once per turn."
Abyss Actor - Mellow Madonna,DARK,Level 7,Fiend/Pendulum／Effect,1800.0,2500.0,"Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase."
Abyss Actor - Sassy Rookie,DARK,Level 4,Fiend/Pendulum／Effect,1700.0,1000.0,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it."
Abyss Actor - Super Producer,DARK,,Fiend/Link／Effect,1600.0,,"2 monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can target 1 face-up card you control; destroy it, then you can apply 1 of these effects.●Place 1 ""Abyss Playhouse - Fantastic Theater"" from your Deck, face-up in your Field Zone.●Place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone.You can only use this effect of ""Abyss Actor - Super Producer"" once per turn."
Abyss Actor - Superstar,DARK,Level 7,Fiend/Pendulum／Effect,2500.0,1800.0,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase."
Abyss Actor - Trendy Understudy,DARK,Level 2,Fiend/Pendulum／Effect,700.0,700.0,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn."
Abyss Actor - Twinkle Little Star,DARK,Level 4,Fiend/Pendulum／Effect,1000.0,1000.0,Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.
Abyss Actor - Wild Hope,DARK,Level 4,Fiend/Pendulum／Effect,1600.0,1200.0,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn."
Abyss Dweller,WATER,Rank 4,Sea Serpent/Xyz／Effect,1700.0,1400.0,"2 Level 4 monstersWhile this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn."
Abyss Keeper,WATER,,Fish/Link／Effect,1500.0,,"2 WATER monstersCannot be used as Link Material the turn it is Link Summoned. If this card is Link Summoned: You can Special Summon 1 Fish monster from your hand to your zone this card points to. You can target 1 other Fish monster you control and 1 card your opponent controls; banish those cards. You can only use each effect of ""Abyss Keeper"" once per turn."
Abyss Shark,WATER,Level 5,Fish/Effect,1200.0,700.0,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand, and if you do, add 1 Level 3, 4, or 5 Fish monster from your Deck to your hand, except ""Abyss Shark"". For the rest of this turn, you cannot Special Summon monsters, except WATER monsters, also, double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn."
Abyss Soldier,WATER,Level 4,Aqua/Effect,1800.0,1300.0,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.
Abyss Warrior,WATER,Level 4,Aqua/Effect,1800.0,1300.0,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck."
Abyssal Kingshark,WATER,Level 4,Fish/Effect,1700.0,600.0,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed."
"Abyssrhine, the Atlantean Spirit",WATER,Level 3,Aqua/Effect,1600.0,1600.0,"(This card is always treated as a ""Mermail"" card.)You can Tribute this card from your hand and 1 ""Atlantean"" or ""Mermail"" monster from your hand or field; take 1 Level 7 Fish, Sea Serpent, or Aqua monster from your Deck and either add it to your hand or Special Summon it, also you cannot Special Summon from the Extra Deck for the rest of this turn, except WATER monsters. During your opponent's turn (Quick Effect): You can banish this card from your GY and discard 1 card to the GY; draw 1 card. You can only use each effect of ""Abyssrhine, the Atlantean Spirit"" once per turn."
"Abysstrite, the Atlantean Spirit",WATER,Rank 7,Sea Serpent/Xyz／Effect,2100.0,2800.0,"2+ Level 7 WATER monstersWATER monsters you control gain 300 ATK/DEF for each material attached to this card. You can only use each of the following effects of ""Abysstrite, the Atlantean Spirit"" once per turn. If this card is Xyz Summoned: You can target 1 Level 7 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it. You can detach 1 material from this card; Set 1 ""Abyss-"" Trap from your Deck."
Accel Synchro Stardust Dragon,WIND,Level 8,Dragon/Synchro／Effect,2500.0,2000.0,"1 Tuner + 1+ non-Tuner monstersIf this card is Synchro Summoned: You can Special Summon 1 Level 2 or lower Tuner from your GY. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Stardust Dragon"" from your Extra Deck (this is treated as a Synchro Summon), then, immediately after this effect resolves, Synchro Summon using monsters you control as material. For the rest of this turn, the monsters Synchro Summoned by this effect are unaffected by your opponent's activated effects. You can only use each effect of ""Accel Synchro Stardust Dragon"" once per turn."
Accel Synchron,DARK,Level 5,Machine/Synchro／Tuner／Effect,500.0,2100.0,"1 Tuner + 1+ non-Tuner monstersOnce per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;●Increase this card's Level by the Level of the sent monster.●Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn."
Accesscode Talker,DARK,,Cyberse/Link／Effect,2300.0,,"2+ Effect MonstersYour opponent cannot activate cards or effects in response to this card's effect activations. If this card is Link Summoned: You can target 1 Link Monster that was used as its Link Material; this card gains ATK equal to that monster's Link Rating x 1000. You can banish 1 Link Monster from your field or GY; destroy 1 card your opponent controls, also for the rest of this turn, you cannot banish monsters with that same Attribute to activate this effect of ""Accesscode Talker""."
Ace★Spades Speculation,LIGHT,Level 7,Warrior/Fusion／Effect,2500.0,2500.0,"1 monster with 2500 or more ATK + 1 face-down Defense Position monster with 2500 or less DEFYou can only Special Summon ""Ace★Spades Speculation(s)"" once per turn. You can Tribute 1 Attack Position monster and 1 face-down Defense Position monster; Special Summon this card from your GY. This card gains the following effect based on its battle position.●Attack Position: Gains ATK equal to the highest original ATK among monsters your opponent controls (your choice, if tied).●Defense Position: Cannot be destroyed by battle or card effects."
Achacha Archer,FIRE,Level 3,Warrior/Effect,1200.0,600.0,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.
Achacha Chanbara,FIRE,Level 3,Warrior/Effect,1400.0,400.0,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent."
Achichi @Ignister,FIRE,Level 2,Cyberse/Effect,800.0,800.0,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand, except ""Achichi @Ignister"". At the start of the Damage Step, when your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn."
Acorno,EARTH,Level 1,Plant/Effect,200.0,400.0,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
Acrobat Monkey,EARTH,Level 3,Machine/Normal,1000.0,1800.0,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Acrobatic Magician,DARK,Level 5,Spellcaster/Pendulum／Effect,800.0,2300.0,If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.
Ad Libitum of Despia,DARK,Level 8,Fairy/Effect,1500.0,2000.0,"During your Main Phase: You can make all monsters currently on the field gain ATK equal to their own Level x 100, until the end of the opponent's turn. If this card in your hand or field is used as Fusion Material, and sent to the GY or banished: You can target 1 of your ""Despia"" monsters or Level 8 or higher Fusion Monsters, that is banished or in your GY, except ""Ad Libitum of Despia""; Special Summon it. You can only use each effect of ""Ad Libitum of Despia"" once per turn."
Adamancipator Analyzer,EARTH,Level 4,Rock/Tuner／Effect,1500.0,700.0,"If only your opponent controls a monster: You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Analyzer"" once per turn."
Adamancipator Crystal - Dragite,WATER,Level 4,Rock/Effect,0.0,2200.0,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn."
Adamancipator Crystal - Leonite,FIRE,Level 4,Rock/Effect,0.0,2200.0,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 ""Adamancipator"" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Leonite"" once per turn."
Adamancipator Crystal - Raptite,WIND,Level 4,Rock/Effect,0.0,2200.0,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Raptite"" once per turn."
Adamancipator Researcher,EARTH,Level 2,Rock/Tuner／Effect,100.0,2100.0,"If you control a Rock monster, except ""Adamancipator Researcher"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Researcher"" once per turn."
Adamancipator Risen - Dragite,WATER,Level 8,Rock/Synchro／Effect,3000.0,2200.0,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can return cards your opponent controls to the hand, up to the number of excavated Rock monsters, also place the excavated cards on the bottom of your Deck in any order. When your opponent activates a Spell/Trap Card or effect, while a WATER monster is in your GY (Quick Effect): You can negate the activation, and if you do, destroy it. You can only use each effect of ""Adamancipator Risen - Dragite"" once per turn."
Adamancipator Risen - Leonite,FIRE,Level 6,Rock/Synchro／Effect,2400.0,2200.0,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated ""Adamancipator"" card to your hand, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of ""Adamancipator Risen - Leonite"" once per turn."
Adamancipator Risen - Raptite,WIND,Level 6,Rock/Synchro／Effect,2200.0,2800.0,"1 Tuner + 1+ non-Tuner monstersDuring your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Rock monster in Defense Position, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a WIND monster is in your GY (Quick Effect): You can target 1 card in your opponent's GY; banish it. You can only use each effect of ""Adamancipator Risen - Raptite"" once per turn."
Adamancipator Seeker,EARTH,Level 2,Rock/Tuner／Effect,1200.0,1000.0,"If you control an ""Adamancipator"" monster, except ""Adamancipator Seeker"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Seeker"" once per turn."
Adhesive Explosive,WIND,Level 3,Machine/Effect,1000.0,1000.0,"Before damage calculation, if this card was attacked by an opponent's monster and was in face-down Defense Position at the start of the Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to."
"Adreus, Keeper of Armageddon",DARK,Rank 5,Fiend/Xyz／Effect,2600.0,1700.0,2 Level 5 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.
Adularia of the June Moon,WATER,Level 5,Spellcaster/Effect,1000.0,1000.0,"If you control a face-up card in your Spell & Trap Zone, you can Special Summon this card (from your hand). You can only Special Summon ""Adularia of the June Moon"" once per turn this way. Gains 600 ATK/DEF for each face-up Spell/Trap on the field. You can send 2 face-up cards from your Spell & Trap Zone to the GY; send 1 Level 4 or lower monster from your Deck to the GY. You can only use this effect of ""Adularia of the June Moon"" once per turn."
Advanced Crystal Beast Amber Mammoth,EARTH,Level 4,Beast/Effect,1700.0,1600.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn, when your opponent activates a card or effect that targets your ""Advanced Crystal Beast"" card(s) or ""Advanced Dark"" (Quick Effect): You can negate the activation. Once per turn, when your ""Advanced Crystal Beast"" monster is targeted for an attack: You can negate that attack. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Advanced Crystal Beast Amethyst Cat,EARTH,Level 3,Beast/Effect,1200.0,400.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Your ""Advanced Crystal Beast"" monsters can attack directly, but when they do so using this effect, the battle damage inflicted to your opponent is halved. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Advanced Crystal Beast Cobalt Eagle,WIND,Level 4,Winged Beast/Effect,1400.0,800.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. You can send this card from your hand or field to the GY; add 1 ""Advanced Dark"" from your Deck to your hand. Once per turn: You can target 1 ""Advanced Crystal Beast"" card you control; return it to the hand or place it on top of the Deck. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Advanced Crystal Beast Emerald Tortoise,WATER,Level 3,Aqua/Effect,600.0,2000.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn (Quick Effect): You can target 1 face-up monster on the field; change its battle position. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Advanced Crystal Beast Ruby Carbuncle,LIGHT,Level 3,Fairy/Effect,300.0,300.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY. While this card is treated as a Continuous Spell: You can Special Summon this card, then you can Special Summon as many ""Advanced Crystal Beast"" Monster Cards as possible from your Spell & Trap Zones. You can only use this effect of ""Advanced Crystal Beast Ruby Carbuncle"" once per turn."
Advanced Crystal Beast Sapphire Pegasus,WIND,Level 4,Beast/Effect,1800.0,1200.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this card is Summoned: You can place 1 of your ""Advanced Crystal Beast"" monsters that is banished, or in your hand, Deck, or GY, face-up in your Spell & Trap Zone as a Continuous Spell. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Advanced Crystal Beast Topaz Tiger,EARTH,Level 4,Beast/Effect,1600.0,1000.0,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. All ""Advanced Crystal Beast"" monsters you control gain 400 ATK/DEF, also monsters your opponent controls lose 400 ATK/DEF. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY."
Aegaion the Sea Castrum,WATER,Rank 8,Machine/Xyz／Effect,,3000.0,"2 Level 8 monstersDuring either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck, face-up, and if you do, this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card, then target 1 of your opponent's banished Fusion, Synchro, or Xyz Monsters; return it to the Extra Deck, and if you do, destroy 1 monster your opponent controls with the same monster card type (Fusion, Synchro, or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn."
Aerial Eater,WIND,Level 6,Fiend/Fusion／Effect,2100.0,2600.0,"2 Fiend monsters with the same AttributeIf this card is Fusion Summoned: You can send 1 Fiend monster from your Deck to the GY. If this card is in your GY: You can banish 2 Level 6 or higher Fiend monsters with the same Attribute as each other from your GY, except ""Aerial Eater""; Special Summon this card. You can only use each effect of ""Aerial Eater"" once per turn."
Aeropixthree,WIND,Level 1,Fairy/Tuner／Effect,200.0,200.0,"Once per turn (Quick Effect): You can target 1 face-up monster your opponent controls in this card's column; move this card you control to another of your Main Monster Zones, and if you do, move that opponent's monster to their Main Monster Zone in this card's column, then place 1 Burnup Counter on it. (Monsters with Burnup Counters lose 200 ATK/DEF for each Burnup Counter on it.)"
"Aether, the Empowering Dragon",LIGHT,Level 6,Dragon/Effect,2300.0,1600.0,"When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn."
"Aether, the Evil Empowering Dragon",DARK,Level 6,Dragon/Pendulum／Effect,2300.0,1600.0,When this card is Normal or Special Summoned: You can target 1 monster on the field; banish it.
Agave Dragon,EARTH,,Wyrm/Link／Effect,3000.0,,"2+ monsters, except TokensIf this card is Link Summoned: You can apply these effects in sequence, depending on the Types of monsters in the GYs (skip over any that do not apply). You can only use this effect of ""Agave Dragon"" once per turn.●Inflict 100 damage to your opponent for each Dragon.●This card gains 200 ATK for each Dinosaur.●All monsters your opponent currently controls lose 300 ATK for each Sea Serpent.●You gain 400 LP for each Wyrm."
"Aggiba, the Malevolent Sh'nn S'yo",LIGHT,Level 10,Fiend/Effect,3000.0,3000.0,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Fiend-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Agido,EARTH,Level 4,Fairy/Effect,1500.0,1300.0,"If this card is destroyed by battle and sent to the GY: Roll a six-sided die, then you can Special Summon 1 Fairy monster from your GY whose Level is equal to the result. (If the result is 6, you can Special Summon a Level 6 or higher monster.)"
Agido the Ancient Sentinel,EARTH,Level 4,Fairy/Effect,1500.0,1300.0,"If a card(s) is sent from the hand or Deck to your opponent's GY (except during the Damage Step): You can Special Summon this card from your hand, then you can Special Summon 1 Level 4 EARTH Fairy monster from your GY, except ""Agido the Ancient Sentinel"". If this card is sent from the hand or Deck to the GY: You can activate this effect; each player sends the top 5 cards of their Deck to the GY (or their entire Deck, if less than 5), then, if ""Exchange of the Spirit"" is in your GY, you can send 5 more cards from the top of either player's Deck to the GY. You can only use each effect of ""Agido the Ancient Sentinel"" once per turn."
